[2025-10-29 17:37:17,385: INFO: main: wlcm to our log page]
[2025-10-29 17:43:31,004: INFO: main: wlcm to our log page]
[2025-10-31 16:25:04,113: INFO: main: wlcm to our log page]
[2025-10-31 18:27:16,174: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-31 18:27:16,187: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-31 18:27:16,190: INFO: common: created directory at: artifacts]
[2025-10-31 18:27:16,190: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-31 18:27:16,190: INFO: 3422454739: Downloading file from : https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 18:29:31,564: INFO: 3422454739: downloaded data from https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 18:53:40,780: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-31 18:53:40,781: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-31 18:53:40,782: INFO: common: created directory at: artifacts]
[2025-10-31 18:53:40,784: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-31 18:53:40,785: INFO: 3422454739: Downloading file from : https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 18:54:19,084: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-31 18:54:19,086: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-31 18:54:19,087: INFO: common: created directory at: artifacts]
[2025-10-31 18:54:19,088: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-31 18:54:19,089: INFO: 3422454739: Downloading file from : https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 18:54:21,354: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-31 18:54:21,355: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-31 18:54:21,357: INFO: common: created directory at: artifacts]
[2025-10-31 18:54:21,358: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-31 18:54:21,359: INFO: 3422454739: Downloading file from : https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 18:55:14,034: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-31 18:55:14,034: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-31 18:55:14,034: INFO: common: created directory at: artifacts]
[2025-10-31 18:55:14,034: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-31 18:55:14,038: INFO: 3422454739: Downloading file from : https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 18:57:05,974: INFO: 3422454739: downloaded data from https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 19:03:57,388: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-31 19:03:57,388: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-31 19:03:57,388: INFO: common: created directory at: artifacts]
[2025-10-31 19:03:57,395: INFO: common: created directory at: artifacts/data_ingestion]
[2025-10-31 19:03:57,396: INFO: 3422454739: Downloading file from : https://drive.google.com/file/d/1YGUK8ehylPe9DIlMXvtFHV8H9cBqSTX7/view?usp=sharing into file : artifacts/data_ingestion/data.zip]
[2025-10-31 19:04:47,601: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-10-31 19:04:47,606: INFO: common: yaml file: params.yaml loaded successfully]
[2025-10-31 19:04:47,606: INFO: common: created directory at: artifacts]
[2025-10-31 19:04:47,606: INFO: common: created directory at: artifacts/data_ingestion]
